PRESSURE_ZONE_NUMBER;Geom
670;"{""type"": ""Polygon"", ""coordinates"": [[[-123.02360853668819, 49.29121120488929], [-123.02477550729493, 49.29121076932802], [-123.02477567788013, 49.29154369199692], [-123.02490304077591, 49.29154644379878], [-123.02547151015767, 49.29136311642368], [-123.02595488372494, 49.29055276996728], [-123.02617528803225, 49.290219788787965], [-123.02615832932534, 49.29016429250207], [-123.02615675916466, 49.28982850286139], [-123.02588927043155, 49.28982859144212], [-123.02574407082835, 49.28963478707987], [-123.0257463734233, 49.28884365883181], [-123.02574693792782, 49.28863631963761], [-123.02575130650456, 49.28784564162386], [-123.02572781779914, 49.287660354980126], [-123.02572777396132, 49.287577149491824], [-123.02589347202719, 49.287567649384215], [-123.02616919914429, 49.287567569017206], [-123.02617038136303, 49.287233397358236], [-123.02603213885547, 49.28717856707562], [-123.0257309885341, 49.28717956140242], [-123.02572873177523, 49.28683729493032], [-123.02575952319502, 49.28658182461133], [-123.02589560281642, 49.28647744075001], [-123.02639752743492, 49.2864777400854], [-123.02639991578837, 49.285857520040906], [-123.02589799778988, 49.28585767051575], [-123.02589927932605, 49.28570610066324], [-123.02589919763928, 49.28555093302415], [-123.0259042211292, 49.28519382138233], [-123.02617730844352, 49.28519374148319], [-123.02618106888463, 49.28502508014784], [-123.02590411857376, 49.285025160893525], [-123.02590403109589, 49.28485901906007], [-123.02589030874736, 49.284677408498595], [-123.0258975989752, 49.2839506823399], [-123.02589783032471, 49.28386774627445], [-123.02603624477918, 49.283771996890096], [-123.02603605392459, 49.28343728446921], [-123.02589757626103, 49.28343732459381], [-123.02590122203478, 49.2830471198772], [-123.0259050457708, 49.28299683571552], [-123.02565283855985, 49.282892548513686], [-123.02565222525187, 49.28250311663878], [-123.0256489901409, 49.28200121156095], [-123.02548661417734, 49.28162240406364], [-123.0235602763624, 49.281624737574994], [-123.02353543384864, 49.2829079030001], [-123.02349413697667, 49.28555161939725], [-123.02346853316844, 49.28661756517338], [-123.02368589302581, 49.286781215099516], [-123.0236711734394, 49.28756649662352], [-123.02366580359352, 49.28783725236668], [-123.023653789972, 49.28856046649286], [-123.0236484341004, 49.288832130686785], [-123.02363642601394, 49.28955625112563], [-123.02363107178505, 49.28982700958582], [-123.02362843034265, 49.290049193075966], [-123.02360853668819, 49.29121120488929]]]}"
450;"{""type"": ""Polygon"", ""coordinates"": [[[-123.12250635117337, 49.29212428933201], [-123.11341175169501, 49.30012209843967], [-123.14479474078372, 49.317006550579094], [-123.16694817925513, 49.3040606200116], [-123.14848056684485, 49.288618992520874], [-123.1437447995923, 49.29200587671431], [-123.13971434852135, 49.29451177164257], [-123.1355417689521, 49.29701770056367], [-123.12250635117337, 49.29212428933201]]]}"
490;"{""type"": ""Polygon"", ""coordinates"": [[[-123.04505076010221, 49.263417866607135], [-123.04503464542957, 49.26368341107878], [-123.04503007215546, 49.263778213231795], [-123.04436566898312, 49.26377704787086], [-123.04408035381483, 49.26363360272911], [-123.04351807363737, 49.26363094636038], [-123.0435213120859, 49.26340597523343], [-123.04155725176241, 49.26339774778993], [-123.03913895539897, 49.263385009095856], [-123.03913152017947, 49.263751188714544], [-123.03890923416489, 49.26391675766811], [-123.03874442174033, 49.26391681305427], [-123.03874083830405, 49.264290546979716], [-123.03658633401879, 49.26427869220425], [-123.03658190712605, 49.265187756796045], [-123.03451318711403, 49.26517829302978], [-123.03451335157031, 49.26545343799776], [-123.03395150411693, 49.26545121135411], [-123.03394770528239, 49.26554376396689], [-123.03426110893739, 49.26562371092303], [-123.03415039713813, 49.26573132608267], [-123.03391720801366, 49.26580894205791], [-123.03390215031335, 49.26746452051655], [-123.03428961175106, 49.26764060471538], [-123.03427836116722, 49.26800844851488], [-123.033896115377, 49.268006060040754], [-123.03389256111763, 49.268376330287715], [-123.03409915084205, 49.26855896217639], [-123.03409558087036, 49.2689042167402], [-123.03378831178117, 49.26932333874669], [-123.03389560013592, 49.26960352571743], [-123.03445311139704, 49.269608182803644], [-123.03445327643392, 49.269984118908155], [-123.0389576051637, 49.26998283357011], [-123.04134073201256, 49.26998523475368], [-123.04147418941415, 49.26996162851307], [-123.04370836651032, 49.26995419349101], [-123.043998545861, 49.26996234993978], [-123.04419916105743, 49.27033197584017], [-123.04441476764308, 49.27024787805406], [-123.0449488063082, 49.27025099076332], [-123.04495889446233, 49.26999219510926], [-123.04684652147074, 49.269994035816865], [-123.04683252221697, 49.27088771396202], [-123.04953524703843, 49.27090285007385], [-123.04956158168396, 49.2696388272836], [-123.05199617284852, 49.26964025637537], [-123.05198226576196, 49.270884763216564], [-123.0520805539, 49.27088452995898], [-123.05414162787558, 49.27089851314747], [-123.05413819857768, 49.271143363291955], [-123.0545541733133, 49.271143167385056], [-123.05467265395156, 49.271252942316615], [-123.05479472480287, 49.27125288441211], [-123.05480230370057, 49.27114547850815], [-123.0552984244569, 49.27114776047841], [-123.05529058669892, 49.270900478108985], [-123.05587839705188, 49.27089245918421], [-123.05587806647254, 49.27061270970853], [-123.05638189076619, 49.27061246474568], [-123.05680157769639, 49.27049739078901], [-123.05679804220269, 49.27076967609309], [-123.0580042014045, 49.270786517925494], [-123.05993658819266, 49.27079973250405], [-123.06172375143164, 49.27081990057039], [-123.06192216844372, 49.270534557866334], [-123.06200232409624, 49.27044699192746], [-123.06214751377019, 49.27035929190985], [-123.06216334889274, 49.26967213463881], [-123.06198775560219, 49.269454744502056], [-123.0620155848674, 49.26819082035568], [-123.06219493031298, 49.26816085085168], [-123.06219986756173, 49.26782460930956], [-123.06202837194384, 49.26763554250813], [-123.06203353475594, 49.267477944593374], [-123.06234389720414, 49.26747776836982], [-123.06234904566696, 49.26730964614968], [-123.06220973236626, 49.26725368148677], [-123.06221466942277, 49.26691743989786], [-123.06206463748259, 49.26674239389621], [-123.06180986722701, 49.2663588867796], [-123.05974426813158, 49.26634246841398], [-123.05974945614139, 49.265857985695234], [-123.05975385346335, 49.265526961021614], [-123.05975445707489, 49.26545769786804], [-123.05799844870828, 49.26544060088984], [-123.05800891790074, 49.2649903777447], [-123.05801298770083, 49.26494450026852], [-123.05801145477089, 49.264809123528046], [-123.05739564871594, 49.26480403376192], [-123.05741856872342, 49.26324335774803], [-123.0567560525219, 49.263239637101826], [-123.0566639629512, 49.26323833300156], [-123.05643506777706, 49.26320696180201], [-123.05629143599256, 49.26320523279532], [-123.05584953845398, 49.26320633766028], [-123.05585321859188, 49.2634231200774], [-123.0547982799495, 49.26341957582861], [-123.05477117745184, 49.263757358210135], [-123.05472170473297, 49.263764577708955], [-123.05460104689784, 49.263420568329174], [-123.05228844981161, 49.263423874132506], [-123.05225375619462, 49.26376076894416], [-123.05218364782992, 49.26375044715502], [-123.05207678288414, 49.26342262041517], [-123.04702495317872, 49.263413539474165], [-123.04505076010221, 49.263417866607135]]]}"
